DateTime,bus,p_set
2024-04-25 06:00:00,IB GF,0.0
2024-04-25 06:00:00,IB NPI,2.5
2024-04-25 06:00:00,IB OPF,64.18
2024-04-25 06:00:00,SM FT OPF,0.0
2024-04-25 06:00:00,SM GF,2.11
2024-04-25 06:00:00,SM KV OPF,0.0
2024-04-25 06:00:00,SM NPI,1.551475746
2024-04-25 06:00:00,SM TLO,4.22
2024-04-25 06:30:00,IB GF,0.0
2024-04-25 06:30:00,IB NPI,2.5
2024-04-25 06:30:00,IB OPF,64.18
2024-04-25 06:30:00,SM FT OPF,0.0
2024-04-25 06:30:00,SM GF,2.11
2024-04-25 06:30:00,SM KV OPF,0.0
2024-04-25 06:30:00,SM NPI,1.579098574
2024-04-25 06:30:00,SM TLO,4.22
2024-04-25 07:00:00,IB GF,0.0
2024-04-25 07:00:00,IB NPI,2.5
2024-04-25 07:00:00,IB OPF,64.18
2024-04-25 07:00:00,SM FT OPF,0.0
2024-04-25 07:00:00,SM GF,2.11
2024-04-25 07:00:00,SM KV OPF,0.0
2024-04-25 07:00:00,SM NPI,1.604024891
2024-04-25 07:00:00,SM TLO,4.22
2024-04-25 07:30:00,IB GF,0.0
2024-04-25 07:30:00,IB NPI,2.5
2024-04-25 07:30:00,IB OPF,64.18
2024-04-25 07:30:00,SM FT OPF,0.0
2024-04-25 07:30:00,SM GF,2.11
2024-04-25 07:30:00,SM KV OPF,0.0
2024-04-25 07:30:00,SM NPI,1.60360469
2024-04-25 07:30:00,SM TLO,4.22
2024-04-25 08:00:00,IB GF,0.0
2024-04-25 08:00:00,IB NPI,2.5
2024-04-25 08:00:00,IB OPF,64.18
2024-04-25 08:00:00,SM FT OPF,0.0
2024-04-25 08:00:00,SM GF,2.11
2024-04-25 08:00:00,SM KV OPF,0.0
2024-04-25 08:00:00,SM NPI,1.590871318
2024-04-25 08:00:00,SM TLO,3.06
2024-04-25 08:30:00,IB GF,0.0
2024-04-25 08:30:00,IB NPI,2.5
2024-04-25 08:30:00,IB OPF,64.18
2024-04-25 08:30:00,SM FT OPF,0.0
2024-04-25 08:30:00,SM GF,2.11
2024-04-25 08:30:00,SM KV OPF,0.0
